Producto,Submarca,Marca,Abreviatura
ELECTRONICOS4,HEWLETT-PACKARD,HP,HP
ELECTRONICOS5,,LENOVO,
ELECTRONICOS6,,LG,
ELECTRONICOS7,,NOKIA,
ELECTRONICOS8,,SONY,
ELECTRONICOS9,,TOSHIBA,
EMUI,EMUI,HUAWEI,
EQT,ORIGINALS,ADIDAS,
ESCAPE,ESCAPE,FORD,
EVO,EVO,PUMA,
EXPRESS,"EXPRESS VPN","EXPRESS VPN",NULL
"EXPRESS VPN","EXPRESS VPN","EXPRESS VPN",NULL
FIESTA,FIESTA,FORD,
FIGO,FIGO,FORD,
FIT,FIT,HONDA,
"FOREVER 21",FOREVER,"FOREVER 21",
"FOREVER CHUCK",CONVERSE,CONVERSE,
FORTE,FORTE,KIA,
FREEBUDS,FREEBUDS,HUAWEI,
FUSION,FUSION,FORD,
"GALAXY A","GALAXY A",SAMSUNG,
"GALAXY FOLD","GALAXY FOLD",SAMSUNG,
"GALAXY M","GALAXY M",SAMSUNG,
"GALAXY S","GALAXY S",SAMSUNG,
"GALAXY TAB A","GALAXY TAB A",SAMSUNG,
"GALAXY TAB S","GALAXY TAB S",SAMSUNG,
"GALAXY WACTH","GALAXY WACTH",SAMSUNG,
GEOTRUST,GEOTRUST,NULL,NULL
GNP,GNP,GNP,NULL
GNP’,NULL,NULL,NULL
GOL,GOL,VOLKSWAGEN,
GOLF,GOLF,VOLKSWAGEN,
"GOOGLE NEWS",GOOGLE,NEWS,NULL
"HARMAN KARDON","HARMAN KARDON",SAMSUNG,
HDI,HDI,HDI,NULL
HELLOMOTO,,MOTOROLA,
HILUX,HILUX,TOYOTA,
HSBC,HSBC,HSBC,NULL
INBURSA,INBURSA,INBURSA,NULL
INFINITUM,INFINITUM,INFINITUM,INFINITUM
IPAD,IPAD,APPLE,
IPHONE,IPHONE,APPLE,
IPOD,IPOD,APPLE,
"JACK PURCELL",CONVERSE,CONVERSE,
"JACKSON WORKER","JACKSON WORKER",LEVIS,
"JAMES HARDEN",BASQUETBALL,ADIDAS,HARDEN
JETTA,JETTA,VOLKSWAGEN,
KAYAK,KAYAK,KAYAK,NULL
"KEVIN DURANT",BASQUETBALL,NIKE,KD
KICKS,KICKS,NISSAN,
KIRIN,KIRIN,HUAWEI,
"KOBE BRYANT",BASQUETBALL,NIKE,KOBE
"KYRIE IRVING",BASQUETBALL,NIKE,KYRIE
"LEBRON JAMES",BASQUETBALL,NIKE,LEBRON
LEICA,LEICA,HUAWEI,
LENTES1,,ARNETTE,
LENTES10,,RAY-BAN,
LENTES2,,CARRERA,
LENTES3,,DIOR,
LENTES4,,DKNY,
LENTES5,,"DOLCE GABBANA",
LENTES6,,"HUGO BOSS",
LENTES7,,OAKLEY,
LENTES8,,PRADA,
LENTES9,,"RALPH LAUREN",POLO
LIGHTSTRIKE,BASQUETBALL,ADIDAS,
LOBO,LOBO,FORD,
LOWLAND,SKATEBOARDING,VANS,
LQD-CELL,LQD-CELL,PUMA,
MACBOOK,MACBOOK,APPLE,
MAPFRE,MAPFRE,MAPFRE,MAPFRE
MARCAS1,,"AMERICAN EAGLE",
MARCAS10,,"PULL AND BEAR","P B"
MARCAS11,,REEBOOK,
MARCAS12,,"TOMMY HILFIGER",
MARCAS13,,"UNDER ARMOUR",
MARCAS14,,ZARA,
MARCAS2,,BERSHKA,
MARCAS3,,"CALVIN KLEIN",
MARCAS4,,CHAMPION,
MARCAS5,,GUESS,
MARCAS6,,LACOSTE,
MARCAS7,,NAUTICA,
MARCAS8,,OGGI,
MARCAS9,,"PERRY ELLIS",
MATE,MATE,HUAWEI,
MAXIMA,MAXIMA,NISSAN,
MAZDA2,MAZDA2,MAZDA,
MAZDA3,MAZDA3,MAZDA,
MAZDA6,MAZDA6,MAZDA,
"MICHEL JORDAN",BASQUETBALL,NIKE,JORDAN
"MICROSOFT STORE","MICROSOFT STORE","MICROSOFT ","MICROSOFT "
MIITUO,MIITUO,MIITUO,NULL
MOTO-E,MOTO-E,MOTOROLA,
MOTO-G,MOTO-G,MOTOROLA,
MOTO-MODS,MOTO-MODS,MOTOROLA,
MOTO-Z,MOTO-Z,MOTOROLA,
"MOTOROLA ONE",ONE,MOTOROLA,
MSN,MSN,MICROSOFT,NULL
MULTIVA,MULTIVA,MULTIVA,NULL
MUSTANG,MUSTANG,FORD,
MX-5,MX-5,MAZDA,
NETFLIX,NETFLIX,NETFLIX,NETFLIX
NIKE-REACT,REACT,NIKE,
NIKE-SB,SKATEBOARDING,NIKE,SB
NIKON,NIKON,NIKON,NULL
NINTENDO,SWITCH,NULL,NULL
NMD,ORIGINALS,ADIDAS,
NOTE,NOTE,SAMSUNG,
NOVA,NOVA,HUAWEI,
"NP-300 FRONTIER","NP-300 FRONTIER",NISSAN,
OFFICE,OFFICE,MICROSOFT,MICROSOFT
"OLD SCHOOL",SKATEBOARDING,VANS,
"ONE NOTE","ONE NOTE",MICROSOFT,MICROSOFT
"ONE STAR",CONVERSE,CONVERSE,
OPTIMA,OPTIMA,KIA,
OXXO,OXXO,OXXO,NULL
P,"P SERIES",HUAWEI,
"PAUL GEORGE",BASQUETBALL,NIKE,PG
PAYPAL,PAYPAL,PAYPAL,NULL
PILOT,PILOT,HONDA,
PLAY,PLAY,MOTOROLA,
PLUS,PLUS,MOTOROLA,
POLO,POLO,VOLKSWAGEN,
PRIUS,PRIUS,TOYOTA,
PUMA-LAB,PUMA-LAB,PUMA,
"QLED 4K","QLED 4K",SAMSUNG,
"QLED 8K","QLED 8K",SAMSUNG,
QUALITAS,QUALITAS,QUALITAS,NULL
RANGER,RANGER,FORD,
RAV-4,RAV-4,TOYOTA,
RAZR,RAZR,MOTOROLA,
RIO,RIO,KIA,
RS-X,RS-X,PUMA,
SANBORNS,SANBORNS,SANBORNS,SANBORNS
SANTANDER,SANTANDER,SANTANDER,NULL
SCOTIABANK,SCOTIABANK,SCOTIABANK,NULL
SENTRA,SENTRA,NISSAN,
SILVERADO,SILVERADO,CHEVROLET,
SK8-HI,SKATEBOARDING,VANS,
SKYPE,SKYPE,SKYPE,SKYPE
SOUL,SOUL,KIA,
SPARK,SPARK,CHEVROLET,
SPORTAGE,SPORTAGE,KIA,
"STAN SMITH",ORIGINALS,ADIDAS,
STINGER,STINGER,KIA,
SUBURBAN,SUBURBAN,CHEVROLET,
"SUNSET 1 POCKET SHIRT","SUNSET 1 POCKET SHIRT",LEVIS,
SUPERAMA,SUPERAMA,SUPERAMA,NULL
SUPERSTAR,ORIGINALS,ADIDAS,
SURA,SURA,"SURA SEGUROS",NULL
TAHOE,TAHOE,CHEVROLET,
TELCEL,TELCEL,TELCEL,(TELCEL)
"THUNDER SPECTRA",SPECTRA,PUMA,
TIENDAS1,,COPPEL,
TIENDAS2,,"FABRICAS DE FRANCIA",
TIENDAS3,,LIVERPOOL,
TIENDAS4,,"OFFICE MAX",
TIENDAS5,,"OFFICE DEPOT",
TIENDAS6,,"PALACIO DE HIERRO",
TIENDAS7,,SEARS,
TIENDAS8,,SANBORNS,
TIGUAN,TIGUAN,VOLKSWAGEN,
TIIDA,TIIDA,NISSAN,
TORSION,ORIGINALS,ADIDAS,
"TRUCKER JACKET",TRUCKER,LEVIS,
"TRUCKER VEST",VEST,LEVIS,
TUBULAR,ORIGINALS,ADIDAS,
UBER,"UBER ","UBER ",NULL
ULTRABOOST,BOOST,ADIDAS,
VENDETUAUTO,VENDETUAUTO,NULL,NULL
VENTO,VENTO,VOLKSWAGEN,
VERSA,VERSA,NISSAN,
VIMEO,VIMEO,VIMEO,NULL
VISA,VISA,VISA,NULL
"VPN ","EXPRESS VPN","EXPRESS VPN",NULL
WOW,WOW,WOW,NULL
YARIS,YARIS,TOYOTA,
YEEZY,YEEZY,ADIDAS,KAYAK
"YOUTUBE MUSIC",EBAY,CALIENTE,
ZURICH,ZURICH,NINTENDO,ZURICH
